"metric","Country.Name","Country.Code","value"
"Forest area (sq. km)","West Bank and Gaza","PSE",91.70000076
"Forest area (sq. km)","Yemen, Rep.","YEM",5490
"Forest area (sq. km)","Zambia","ZMB",484683.9844
"Forest area (sq. km)","Zimbabwe","ZWE",137495.9961
"GDP per capita (current US$)","Afghanistan","AFG",520.8966027
"GDP per capita (current US$)","Albania","ALB",5268.848504
"GDP per capita (current US$)","Algeria","DZA",4114.715061
"GDP per capita (current US$)","American Samoa","ASM",11466.69071
"GDP per capita (current US$)","Andorra","AND",42029.76274
"GDP per capita (current US$)","Angola","AGO",3432.385736
"GDP per capita (current US$)","Antigua and Barbuda","ATG",16726.98081
"GDP per capita (current US$)","Argentina","ARG",11683.94962
"GDP per capita (current US$)","Armenia","ARM",4212.070943
"GDP per capita (current US$)","Aruba","ABW",25630.26649
"GDP per capita (current US$)","Australia","AUS",57373.68668
"GDP per capita (current US$)","Austria","AUT",51461.95478
"GDP per capita (current US$)","Azerbaijan","AZE",4721.178087
"GDP per capita (current US$)","Bahamas, The","BHS",32217.87159
"GDP per capita (current US$)","Bahrain","BHR",24050.75751
"GDP per capita (current US$)","Bangladesh","BGD",1698.262802
"GDP per capita (current US$)","Barbados","BRB",17949.28151
"GDP per capita (current US$)","Belarus","BLR",6289.938553
"GDP per capita (current US$)","Belgium","BEL",47518.63604
"GDP per capita (current US$)","Belize","BLZ",4884.742421
"GDP per capita (current US$)","Benin","BEN",901.5438712
"GDP per capita (current US$)","Bermuda","BMU",NA
"GDP per capita (current US$)","Bhutan","BTN",3243.231125
"GDP per capita (current US$)","Bolivia","BOL",3548.59014
"GDP per capita (current US$)","Bosnia and Herzegovina","BIH",6065.672708
"GDP per capita (current US$)","Botswana","BWA",8258.641666
"GDP per capita (current US$)","Brazil","BRA",8920.762105
"GDP per capita (current US$)","British Virgin Islands","VGB",NA
"GDP per capita (current US$)","Brunei Darussalam","BRN",31628.32879
"GDP per capita (current US$)","Bulgaria","BGR",9272.629304
"GDP per capita (current US$)","Burkina Faso","BFA",715.122904
"GDP per capita (current US$)","Burundi","BDI",271.7520444
"GDP per capita (current US$)","Cabo Verde","CPV",3635.40685
"GDP per capita (current US$)","Cambodia","KHM",1510.324871
"GDP per capita (current US$)","Cameroon","CMR",1533.74214
"GDP per capita (current US$)","Canada","CAN",46232.98962
"GDP per capita (current US$)","Cayman Islands","CYM",81124.51348
"GDP per capita (current US$)","Central African Republic","CAF",475.7212505
"GDP per capita (current US$)","Chad","TCD",728.3432354
"GDP per capita (current US$)","Channel Islands","CHI",NA
"GDP per capita (current US$)","Chile","CHL",15923.35874
"GDP per capita (current US$)","China","CHN",9770.847088
"GDP per capita (current US$)","Colombia","COL",6667.7907
"GDP per capita (current US$)","Comoros","COM",1415.263622
"GDP per capita (current US$)","Congo, Dem. Rep.","COD",561.7771824
"GDP per capita (current US$)","Congo, Rep.","COG",2147.769461
"GDP per capita (current US$)","Costa Rica","CRI",12027.36588
"GDP per capita (current US$)","Cote d'Ivoire","CIV",1715.531332
"GDP per capita (current US$)","Croatia","HRV",14909.69319
"GDP per capita (current US$)","Cuba","CUB",8821.818891
"GDP per capita (current US$)","Curacao","CUW",19567.89244
"GDP per capita (current US$)","Cyprus","CYP",28689.69858
"GDP per capita (current US$)","Czech Republic","CZE",23078.57349
"GDP per capita (current US$)","Denmark","DNK",61350.34791
"GDP per capita (current US$)","Djibouti","DJI",3082.543099
"GDP per capita (current US$)","Dominica","DMA",7691.345097
"GDP per capita (current US$)","Dominican Republic","DOM",8050.631602
"GDP per capita (current US$)","Ecuador","ECU",6344.871979
"GDP per capita (current US$)","Egypt, Arab Rep.","EGY",2549.132252
"GDP per capita (current US$)","El Salvador","SLV",4058.252439
"GDP per capita (current US$)","Equatorial Guinea","GNQ",10261.76001
"GDP per capita (current US$)","Eritrea","ERI",NA
"GDP per capita (current US$)","Estonia","EST",23266.34627
"GDP per capita (current US$)","Ethiopia","ETH",772.3135303
"GDP per capita (current US$)","Faroe Islands","FRO",55822.91472
"GDP per capita (current US$)","Fiji","FJI",6266.967965
"GDP per capita (current US$)","Finland","FIN",50152.34014
"GDP per capita (current US$)","France","FRA",41463.64402
"GDP per capita (current US$)","French Polynesia","PYF",NA
"GDP per capita (current US$)","Gabon","GAB",7952.525893
"GDP per capita (current US$)","Gambia, The","GMB",716.118489
"GDP per capita (current US$)","Georgia","GEO",4717.143026
"GDP per capita (current US$)","Germany","DEU",47603.02763
"GDP per capita (current US$)","Ghana","GHA",2202.312164
"GDP per capita (current US$)","Gibraltar","GIB",NA
"GDP per capita (current US$)","Greece","GRC",20324.25356
"GDP per capita (current US$)","Greenland","GRL",48181.87419
"GDP per capita (current US$)","Grenada","GRD",10640.49676
"GDP per capita (current US$)","Guam","GUM",35712.56214
"GDP per capita (current US$)","Guatemala","GTM",4549.010081
"GDP per capita (current US$)","Guinea","GIN",878.5996133
"GDP per capita (current US$)","Guinea-Bissau","GNB",777.9699218
"GDP per capita (current US$)","Guyana","GUY",4979.002188
"GDP per capita (current US$)","Haiti","HTI",868.3420247
"GDP per capita (current US$)","Honduras","HND",2500.113213
"GDP per capita (current US$)","Hong Kong SAR, China","HKG",48675.61646
"GDP per capita (current US$)","Hungary","HUN",16161.98051
"GDP per capita (current US$)","Iceland","ISL",73191.11632
"GDP per capita (current US$)","India","IND",2009.978857
"GDP per capita (current US$)","Indonesia","IDN",3893.596078
"GDP per capita (current US$)","Iran, Islamic Rep.","IRN",5627.749268
"GDP per capita (current US$)","Iraq","IRQ",5834.166211
"GDP per capita (current US$)","Ireland","IRL",78806.432
"GDP per capita (current US$)","Isle of Man","IMN",80989.17221
"GDP per capita (current US$)","Israel","ISR",41715.02928
"GDP per capita (current US$)","Italy","ITA",34483.204
"GDP per capita (current US$)","Jamaica","JAM",5354.236859
"GDP per capita (current US$)","Japan","JPN",39289.95843
"GDP per capita (current US$)","Jordan","JOR",4241.788782
"GDP per capita (current US$)","Kazakhstan","KAZ",9812.601137
"GDP per capita (current US$)","Kenya","KEN",1710.510097
"GDP per capita (current US$)","Kiribati","KIR",1625.2861
"GDP per capita (current US$)","Korea, Dem. People’s Rep.","PRK",NA
"GDP per capita (current US$)","Korea, Rep.","KOR",31362.75147
"GDP per capita (current US$)","Kosovo","XKX",4302.276483
"GDP per capita (current US$)","Kuwait","KWT",33994.40657
"GDP per capita (current US$)","Kyrgyz Republic","KGZ",1281.363661
"GDP per capita (current US$)","Lao PDR","LAO",2542.486528
"GDP per capita (current US$)","Latvia","LVA",17860.6172
"GDP per capita (current US$)","Lebanon","LBN",8269.787676
"GDP per capita (current US$)","Lesotho","LSO",1299.153126
"GDP per capita (current US$)","Liberia","LBR",677.3221785
"GDP per capita (current US$)","Libya","LBY",7241.704481
"GDP per capita (current US$)","Liechtenstein","LIE",165028.245
"GDP per capita (current US$)","Lithuania","LTU",19153.40899
"GDP per capita (current US$)","Luxembourg","LUX",116639.888
"GDP per capita (current US$)","Macao SAR, China","MAC",87208.53591
"GDP per capita (current US$)","North Macedonia","MKD",6083.718948
"GDP per capita (current US$)","Madagascar","MDG",527.501285
"GDP per capita (current US$)","Malawi","MWI",389.3980332
"GDP per capita (current US$)","Malaysia","MYS",11373.233
"GDP per capita (current US$)","Maldives","MDV",10330.61561
"GDP per capita (current US$)","Mali","MLI",899.6599081
"GDP per capita (current US$)","Malta","MLT",30098.28331
"GDP per capita (current US$)","Marshall Islands","MHL",3788.163594
"GDP per capita (current US$)","Mauritania","MRT",1188.834588
"GDP per capita (current US$)","Mauritius","MUS",11238.69039
"GDP per capita (current US$)","Mexico","MEX",9673.443674
"GDP per capita (current US$)","Micronesia, Fed. Sts.","FSM",3568.290829
"GDP per capita (current US$)","Moldova","MDA",3227.312192
"GDP per capita (current US$)","Monaco","MCO",185741.28
"GDP per capita (current US$)","Mongolia","MNG",4121.732435
"GDP per capita (current US$)","Montenegro","MNE",8844.236985
"GDP per capita (current US$)","Morocco","MAR",3222.200634
"GDP per capita (current US$)","Mozambique","MOZ",498.9572202
"GDP per capita (current US$)","Myanmar","MMR",1325.952924
"GDP per capita (current US$)","Namibia","NAM",5931.453886
"GDP per capita (current US$)","Nauru","NRU",9888.893597
"GDP per capita (current US$)","Nepal","NPL",1033.912431
"GDP per capita (current US$)","Netherlands","NLD",53024.05921
"GDP per capita (current US$)","New Caledonia","NCL",NA
"GDP per capita (current US$)","New Zealand","NZL",41945.33167
"GDP per capita (current US$)","Nicaragua","NIC",2028.894755
"GDP per capita (current US$)","Niger","NER",413.980305
"GDP per capita (current US$)","Nigeria","NGA",2028.18197
"GDP per capita (current US$)","Northern Mariana Islands","MNP",23258.67586
"GDP per capita (current US$)","Norway","NOR",81697.24598
"GDP per capita (current US$)","Oman","OMN",16415.15728
"GDP per capita (current US$)","Pakistan","PAK",1482.403063
"GDP per capita (current US$)","Palau","PLW",15859.43486
"GDP per capita (current US$)","Panama","PAN",15575.07255
"GDP per capita (current US$)","Papua New Guinea","PNG",2730.274799
"GDP per capita (current US$)","Paraguay","PRY",5821.814323
"GDP per capita (current US$)","Peru","PER",6941.235848
"GDP per capita (current US$)","Philippines","PHL",3102.713363
"GDP per capita (current US$)","Poland","POL",15420.91116
"GDP per capita (current US$)","Portugal","PRT",23407.90659
"GDP per capita (current US$)","Puerto Rico","PRI",31651.34815
"GDP per capita (current US$)","Qatar","QAT",68793.78444
"GDP per capita (current US$)","Romania","ROU",12301.1864
"GDP per capita (current US$)","Russian Federation","RUS",11288.87845
"GDP per capita (current US$)","Rwanda","RWA",772.9444599
"GDP per capita (current US$)","Samoa","WSM",4183.407935
"GDP per capita (current US$)","San Marino","SMR",48494.55141
"GDP per capita (current US$)","Sao Tome and Principe","STP",2001.140902
"GDP per capita (current US$)","Saudi Arabia","SAU",23338.96346
"GDP per capita (current US$)","Senegal","SEN",1521.953554
"GDP per capita (current US$)","Serbia","SRB",7246.731656
"GDP per capita (current US$)","Seychelles","SYC",16433.93529
"GDP per capita (current US$)","Sierra Leone","SLE",533.9911843
"GDP per capita (current US$)","Singapore","SGP",64581.94402
"GDP per capita (current US$)","Sint Maarten (Dutch part)","SXM",NA
"GDP per capita (current US$)","Slovak Republic","SVK",19442.70576
"GDP per capita (current US$)","Slovenia","SVN",26123.97387
"GDP per capita (current US$)","Solomon Islands","SLB",2137.690695
"GDP per capita (current US$)","Somalia","SOM",314.5441657
"GDP per capita (current US$)","South Africa","ZAF",6374.028196
"GDP per capita (current US$)","South Sudan","SSD",1119.651332
"GDP per capita (current US$)","Spain","ESP",30370.89233
"GDP per capita (current US$)","Sri Lanka","LKA",4102.48135
"GDP per capita (current US$)","St. Kitts and Nevis","KNA",19275.41851
"GDP per capita (current US$)","St. Lucia","LCA",10566.04975
"GDP per capita (current US$)","St. Martin (French part)","MAF",NA
"GDP per capita (current US$)","St. Vincent and the Grenadines","VCT",7361.400962
"GDP per capita (current US$)","Sudan","SDN",977.2736357
"GDP per capita (current US$)","Suriname","SUR",6234.044922
"GDP per capita (current US$)","Eswatini","SWZ",4145.974112
"GDP per capita (current US$)","Sweden","SWE",54608.36025
"GDP per capita (current US$)","Switzerland","CHE",82796.54716
"GDP per capita (current US$)","Syrian Arab Republic","SYR",NA
"GDP per capita (current US$)","Tajikistan","TJK",826.6215305
"GDP per capita (current US$)","Tanzania","TZA",1060.994615
"GDP per capita (current US$)","Thailand","THA",7273.563207
"GDP per capita (current US$)","Timor-Leste","TLS",2035.533908
"GDP per capita (current US$)","Togo","TGO",679.2570836
"GDP per capita (current US$)","Tonga","TON",4364.015561
"GDP per capita (current US$)","Trinidad and Tobago","TTO",17129.91309
"GDP per capita (current US$)","Tunisia","TUN",3447.50791
"GDP per capita (current US$)","Turkey","TUR",9370.176344
"GDP per capita (current US$)","Turkmenistan","TKM",6966.635411
"GDP per capita (current US$)","Turks and Caicos Islands","TCA",27142.2278
"GDP per capita (current US$)","Tuvalu","TUV",3700.710677
"GDP per capita (current US$)","Uganda","UGA",642.7767443
"GDP per capita (current US$)","Ukraine","UKR",3095.173581
"GDP per capita (current US$)","United Arab Emirates","ARE",43004.95336
"GDP per capita (current US$)","United Kingdom","GBR",42943.90227
"GDP per capita (current US$)","United States","USA",62794.58565
"GDP per capita (current US$)","Uruguay","URY",17277.97011
"GDP per capita (current US$)","Uzbekistan","UZB",1532.371677
"GDP per capita (current US$)","Vanuatu","VUT",3123.893396
"GDP per capita (current US$)","Venezuela, RB","VEN",NA
"GDP per capita (current US$)","Vietnam","VNM",2566.59695
"GDP per capita (current US$)","Virgin Islands (U.S.)","VIR",35938.02439
"GDP per capita (current US$)","West Bank and Gaza","PSE",3198.866644
"GDP per capita (current US$)","Yemen, Rep.","YEM",944.4084994
"GDP per capita (current US$)","Zambia","ZMB",1539.900158
"GDP per capita (current US$)","Zimbabwe","ZWE",2146.996385
"Access to electricity (% of population)","Afghanistan","AFG",97.7
"Access to electricity (% of population)","Albania","ALB",100
"Access to electricity (% of population)","Algeria","DZA",100
"Access to electricity (% of population)","American Samoa","ASM",NA
"Access to electricity (% of population)","Andorra","AND",100
"Access to electricity (% of population)","Angola","AGO",41.88623047
"Access to electricity (% of population)","Antigua and Barbuda","ATG",100
"Access to electricity (% of population)","Argentina","ARG",100
"Access to electricity (% of population)","Armenia","ARM",100
"Access to electricity (% of population)","Aruba","ABW",100
"Access to electricity (% of population)","Australia","AUS",100
"Access to electricity (% of population)","Austria","AUT",100
"Access to electricity (% of population)","Azerbaijan","AZE",100
"Access to electricity (% of population)","Bahamas, The","BHS",100
"Access to electricity (% of population)","Bahrain","BHR",100
"Access to electricity (% of population)","Bangladesh","BGD",88
"Access to electricity (% of population)","Barbados","BRB",100
"Access to electricity (% of population)","Belarus","BLR",100
"Access to electricity (% of population)","Belgium","BEL",100
"Access to electricity (% of population)","Belize","BLZ",98.26512146
"Access to electricity (% of population)","Benin","BEN",43.07774734
"Access to electricity (% of population)","Bermuda","BMU",100
"Access to electricity (% of population)","Bhutan","BTN",97.7
"Access to electricity (% of population)","Bolivia","BOL",91.8
"Access to electricity (% of population)","Bosnia and Herzegovina","BIH",100
"Access to electricity (% of population)","Botswana","BWA",62.82494736
"Access to electricity (% of population)","Brazil","BRA",100
"Access to electricity (% of population)","British Virgin Islands","VGB",100
"Access to electricity (% of population)","Brunei Darussalam","BRN",100
"Access to electricity (% of population)","Bulgaria","BGR",100
"Access to electricity (% of population)","Burkina Faso","BFA",25.47374344
"Access to electricity (% of population)","Burundi","BDI",9.3
"Access to electricity (% of population)","Cabo Verde","CPV",92.91363525
"Access to electricity (% of population)","Cambodia","KHM",89.07
"Access to electricity (% of population)","Cameroon","CMR",61.40187454
"Access to electricity (% of population)","Canada","CAN",100
"Access to electricity (% of population)","Cayman Islands","CYM",100
"Access to electricity (% of population)","Central African Republic","CAF",29.9820385
"Access to electricity (% of population)","Chad","TCD",10.87641621
"Access to electricity (% of population)","Channel Islands","CHI",NA
"Access to electricity (% of population)","Chile","CHL",100
"Access to electricity (% of population)","China","CHN",100
"Access to electricity (% of population)","Colombia","COL",99.59523773
"Access to electricity (% of population)","Comoros","COM",79.93128967
"Access to electricity (% of population)","Congo, Dem. Rep.","COD",19.09363174
"Access to electricity (% of population)","Congo, Rep.","COG",66.21485138
"Access to electricity (% of population)","Costa Rica","CRI",99.6
"Access to electricity (% of population)","Cote d'Ivoire","CIV",65.63575745
"Access to electricity (% of population)","Croatia","HRV",100
"Access to electricity (% of population)","Cuba","CUB",100
"Access to electricity (% of population)","Curacao","CUW",100
"Access to electricity (% of population)","Cyprus","CYP",100
"Access to electricity (% of population)","Czech Republic","CZE",100
"Access to electricity (% of population)","Denmark","DNK",100
"Access to electricity (% of population)","Djibouti","DJI",60.2
"Access to electricity (% of population)","Dominica","DMA",100
"Access to electricity (% of population)","Dominican Republic","DOM",100
"Access to electricity (% of population)","Ecuador","ECU",100
"Access to electricity (% of population)","Egypt, Arab Rep.","EGY",100
"Access to electricity (% of population)","El Salvador","SLV",99.49038696
"Access to electricity (% of population)","Equatorial Guinea","GNQ",67.18409729
"Access to electricity (% of population)","Eritrea","ERI",48.42378998
"Access to electricity (% of population)","Estonia","EST",100
"Access to electricity (% of population)","Ethiopia","ETH",44.3
"Access to electricity (% of population)","Faroe Islands","FRO",100
"Access to electricity (% of population)","Fiji","FJI",96
"Access to electricity (% of population)","Finland","FIN",100
"Access to electricity (% of population)","France","FRA",100
"Access to electricity (% of population)","French Polynesia","PYF",100
"Access to electricity (% of population)","Gabon","GAB",92.19120026
"Access to electricity (% of population)","Gambia, The","GMB",56.2
"Access to electricity (% of population)","Georgia","GEO",100
"Access to electricity (% of population)","Germany","DEU",100
"Access to electricity (% of population)","Ghana","GHA",79
"Access to electricity (% of population)","Gibraltar","GIB",100
"Access to electricity (% of population)","Greece","GRC",100
"Access to electricity (% of population)","Greenland","GRL",100
"Access to electricity (% of population)","Grenada","GRD",94.69567108
"Access to electricity (% of population)","Guam","GUM",100
"Access to electricity (% of population)","Guatemala","GTM",93.28809357
"Access to electricity (% of population)","Guinea","GIN",35.44121552
"Access to electricity (% of population)","Guinea-Bissau","GNB",26.04734802
"Access to electricity (% of population)","Guyana","GUY",90.86487579
"Access to electricity (% of population)","Haiti","HTI",43.75256348
"Access to electricity (% of population)","Honduras","HND",86.5
"Access to electricity (% of population)","Hong Kong SAR, China","HKG",100
"Access to electricity (% of population)","Hungary","HUN",100
"Access to electricity (% of population)","Iceland","ISL",100
"Access to electricity (% of population)","India","IND",92.61865997
"Access to electricity (% of population)","Indonesia","IDN",98.14
"Access to electricity (% of population)","Iran, Islamic Rep.","IRN",100
"Access to electricity (% of population)","Iraq","IRQ",100
"Access to electricity (% of population)","Ireland","IRL",100
"Access to electricity (% of population)","Isle of Man","IMN",100
"Access to electricity (% of population)","Israel","ISR",100
"Access to electricity (% of population)","Italy","ITA",100
"Access to electricity (% of population)","Jamaica","JAM",99.50644684
"Access to electricity (% of population)","Japan","JPN",100
"Access to electricity (% of population)","Jordan","JOR",100
"Access to electricity (% of population)","Kazakhstan","KAZ",100
"Access to electricity (% of population)","Kenya","KEN",63.81147003
"Access to electricity (% of population)","Kiribati","KIR",98.61457062
"Access to electricity (% of population)","Korea, Dem. People’s Rep.","PRK",43.87117767
"Access to electricity (% of population)","Korea, Rep.","KOR",100
"Access to electricity (% of population)","Kosovo","XKX",100
"Access to electricity (% of population)","Kuwait","KWT",100
"Access to electricity (% of population)","Kyrgyz Republic","KGZ",100
"Access to electricity (% of population)","Lao PDR","LAO",93.6
"Access to electricity (% of population)","Latvia","LVA",100
"Access to electricity (% of population)","Lebanon","LBN",100
"Access to electricity (% of population)","Lesotho","LSO",33.73075867
"Access to electricity (% of population)","Liberia","LBR",21.48886871
"Access to electricity (% of population)","Libya","LBY",70.14820099
"Access to electricity (% of population)","Liechtenstein","LIE",100
"Access to electricity (% of population)","Lithuania","LTU",100
"Access to electricity (% of population)","Luxembourg","LUX",100
"Access to electricity (% of population)","Macao SAR, China","MAC",100
"Access to electricity (% of population)","North Macedonia","MKD",100
"Access to electricity (% of population)","Madagascar","MDG",24.07539177
"Access to electricity (% of population)","Malawi","MWI",12.7
"Access to electricity (% of population)","Malaysia","MYS",100
"Access to electricity (% of population)","Maldives","MDV",99.8
"Access to electricity (% of population)","Mali","MLI",43.08983994
"Access to electricity (% of population)","Malta","MLT",100
"Access to electricity (% of population)","Marshall Islands","MHL",94.75500488
"Access to electricity (% of population)","Mauritania","MRT",42.91231918
"Access to electricity (% of population)","Mauritius","MUS",98.03143311
"Access to electricity (% of population)","Mexico","MEX",100
"Access to electricity (% of population)","Micronesia, Fed. Sts.","FSM",80.75668335
"Access to electricity (% of population)","Moldova","MDA",100
"Access to electricity (% of population)","Monaco","MCO",100
"Access to electricity (% of population)","Mongolia","MNG",85.86965179
"Access to electricity (% of population)","Montenegro","MNE",100
"Access to electricity (% of population)","Morocco","MAR",100
"Access to electricity (% of population)","Mozambique","MOZ",27.42547035
"Access to electricity (% of population)","Myanmar","MMR",69.8148366
"Access to electricity (% of population)","Namibia","NAM",52.50118256
"Access to electricity (% of population)","Nauru","NRU",99.55316925
"Access to electricity (% of population)","Nepal","NPL",95.50747681
"Access to electricity (% of population)","Netherlands","NLD",100
"Access to electricity (% of population)","New Caledonia","NCL",100
"Access to electricity (% of population)","New Zealand","NZL",100
"Access to electricity (% of population)","Nicaragua","NIC",86.76779938
"Access to electricity (% of population)","Niger","NER",20.04190445
"Access to electricity (% of population)","Nigeria","NGA",54.4
"Access to electricity (% of population)","Northern Mariana Islands","MNP",100
"Access to electricity (% of population)","Norway","NOR",100
"Access to electricity (% of population)","Oman","OMN",100
"Access to electricity (% of population)","Pakistan","PAK",70.79
"Access to electricity (% of population)","Palau","PLW",100
"Access to electricity (% of population)","Panama","PAN",100
"Access to electricity (% of population)","Papua New Guinea","PNG",54.42744827
"Access to electricity (% of population)","Paraguay","PRY",99.3
"Access to electricity (% of population)","Peru","PER",96.36299133
"Access to electricity (% of population)","Philippines","PHL",93
"Access to electricity (% of population)","Poland","POL",100
"Access to electricity (% of population)","Portugal","PRT",100
"Access to electricity (% of population)","Puerto Rico","PRI",100
"Access to electricity (% of population)","Qatar","QAT",100
"Access to electricity (% of population)","Romania","ROU",100
"Access to electricity (% of population)","Russian Federation","RUS",100
"Access to electricity (% of population)","Rwanda","RWA",34.1
"Access to electricity (% of population)","Samoa","WSM",96.8
"Access to electricity (% of population)","San Marino","SMR",100
"Access to electricity (% of population)","Sao Tome and Principe","STP",72.51070404
"Access to electricity (% of population)","Saudi Arabia","SAU",100
"Access to electricity (% of population)","Senegal","SEN",61.7
"Access to electricity (% of population)","Serbia","SRB",100
"Access to electricity (% of population)","Seychelles","SYC",100
"Access to electricity (% of population)","Sierra Leone","SLE",23.4
"Access to electricity (% of population)","Singapore","SGP",100
"Access to electricity (% of population)","Sint Maarten (Dutch part)","SXM",100
"Access to electricity (% of population)","Slovak Republic","SVK",100
"Access to electricity (% of population)","Slovenia","SVN",100
"Access to electricity (% of population)","Solomon Islands","SLB",62.89564133
"Access to electricity (% of population)","Somalia","SOM",32.94651413
"Access to electricity (% of population)","South Africa","ZAF",84.4
"Access to electricity (% of population)","South Sudan","SSD",25.38207054
"Access to electricity (% of population)","Spain","ESP",100
"Access to electricity (% of population)","Sri Lanka","LKA",97.54497528
"Access to electricity (% of population)","St. Kitts and Nevis","KNA",100
"Access to electricity (% of population)","St. Lucia","LCA",98.75978851
"Access to electricity (% of population)","St. Martin (French part)","MAF",100
"Access to electricity (% of population)","St. Vincent and the Grenadines","VCT",100
"Access to electricity (% of population)","Sudan","SDN",56.45154953
"Access to electricity (% of population)","Suriname","SUR",96.78314209
"Access to electricity (% of population)","Eswatini","SWZ",73.52627563
"Access to electricity (% of population)","Sweden","SWE",100
"Access to electricity (% of population)","Switzerland","CHE",100
"Access to electricity (% of population)","Syrian Arab Republic","SYR",89.63878632
"Access to electricity (% of population)","Tajikistan","TJK",99.3
"Access to electricity (% of population)","Tanzania","TZA",32.8133316
"Access to electricity (% of population)","Thailand","THA",100
"Access to electricity (% of population)","Timor-Leste","TLS",80.38075256
"Access to electricity (% of population)","Togo","TGO",48
"Access to electricity (% of population)","Tonga","TON",97.96759033
"Access to electricity (% of population)","Trinidad and Tobago","TTO",100
"Access to electricity (% of population)","Tunisia","TUN",100
"Access to electricity (% of population)","Turkey","TUR",100
"Access to electricity (% of population)","Turkmenistan","TKM",100
"Access to electricity (% of population)","Turks and Caicos Islands","TCA",100
"Access to electricity (% of population)","Tuvalu","TUV",100
"Access to electricity (% of population)","Uganda","UGA",22
"Access to electricity (% of population)","Ukraine","UKR",100
"Access to electricity (% of population)","United Arab Emirates","ARE",100
"Access to electricity (% of population)","United Kingdom","GBR",100
"Access to electricity (% of population)","United States","USA",100
"Access to electricity (% of population)","Uruguay","URY",100
"Access to electricity (% of population)","Uzbekistan","UZB",100
"Access to electricity (% of population)","Vanuatu","VUT",62.78429413
"Access to electricity (% of population)","Venezuela, RB","VEN",100
"Access to electricity (% of population)","Vietnam","VNM",100
"Access to electricity (% of population)","Virgin Islands (U.S.)","VIR",100
"Access to electricity (% of population)","West Bank and Gaza","PSE",100
"Access to electricity (% of population)","Yemen, Rep.","YEM",79.2
"Access to electricity (% of population)","Zambia","ZMB",40.3
"Access to electricity (% of population)","Zimbabwe","ZWE",40.42136765
"Air transport, passengers carried","Afghanistan","AFG",1722612.61
"Air transport, passengers carried","Albania","ALB",303137
"Air transport, passengers carried","Algeria","DZA",6442442
"Air transport, passengers carried","American Samoa","ASM",NA
"Air transport, passengers carried","Andorra","AND",NA
"Air transport, passengers carried","Angola","AGO",1516628
"Air transport, passengers carried","Antigua and Barbuda","ATG",580174.1568
"Air transport, passengers carried","Argentina","ARG",18081937
"Air transport, passengers carried","Armenia","ARM",NA
"Air transport, passengers carried","Aruba","ABW",274280
"Air transport, passengers carried","Australia","AUS",75667645.03
"Air transport, passengers carried","Austria","AUT",12935505
"Air transport, passengers carried","Azerbaijan","AZE",2279546
"Air transport, passengers carried","Bahamas, The","BHS",1197116.197
"Air transport, passengers carried","Bahrain","BHR",5877003
"Air transport, passengers carried","Bangladesh","BGD",5984155.212
"Air transport, passengers carried","Barbados","BRB",NA
"Air transport, passengers carried","Belarus","BLR",2760168
"Air transport, passengers carried","Belgium","BEL",13639487
"Air transport, passengers carried","Belize","BLZ",1297533.223
"Air transport, passengers carried","Benin","BEN",899
"Air transport, passengers carried","Bermuda","BMU",NA
"Air transport, passengers carried","Bhutan","BTN",275849
"Air transport, passengers carried","Bolivia","BOL",4122113
"Air transport, passengers carried","Bosnia and Herzegovina","BIH",7071
"Air transport, passengers carried","Botswana","BWA",253417
"Air transport, passengers carried","Brazil","BRA",102109977
"Air transport, passengers carried","British Virgin Islands","VGB",NA
"Air transport, passengers carried","Brunei Darussalam","BRN",1234455
"Air transport, passengers carried","Bulgaria","BGR",1022645
"Air transport, passengers carried","Burkina Faso","BFA",151531
"Air transport, passengers carried","Burundi","BDI",NA
"Air transport, passengers carried","Cabo Verde","CPV",140429
"Air transport, passengers carried","Cambodia","KHM",1411059
"Air transport, passengers carried","Cameroon","CMR",265136
"Air transport, passengers carried","Canada","CAN",89380000
"Air transport, passengers carried","Cayman Islands","CYM",NA
"Air transport, passengers carried","Central African Republic","CAF",NA
"Air transport, passengers carried","Chad","TCD",NA
"Air transport, passengers carried","Channel Islands","CHI",NA
"Air transport, passengers carried","Chile","CHL",19517185
"Air transport, passengers carried","China","CHN",611439830
"Air transport, passengers carried","Colombia","COL",33704037
"Air transport, passengers carried","Comoros","COM",NA
"Air transport, passengers carried","Congo, Dem. Rep.","COD",932043.4385
"Air transport, passengers carried","Congo, Rep.","COG",333899
"Air transport, passengers carried","Costa Rica","CRI",1948546
"Air transport, passengers carried","Cote d'Ivoire","CIV",779482
"Air transport, passengers carried","Croatia","HRV",2093577
"Air transport, passengers carried","Cuba","CUB",560754.332
"Air transport, passengers carried","Curacao","CUW",NA
"Air transport, passengers carried","Cyprus","CYP",401408
"Air transport, passengers carried","Czech Republic","CZE",5727200
"Air transport, passengers carried","Denmark","DNK",NA
"Air transport, passengers carried","Djibouti","DJI",NA
"Air transport, passengers carried","Dominica","DMA",NA
"Air transport, passengers carried","Dominican Republic","DOM",11903
"Air transport, passengers carried","Ecuador","ECU",5365261
"Air transport, passengers carried","Egypt, Arab Rep.","EGY",12340832
"Air transport, passengers carried","El Salvador","SLV",2545105
"Air transport, passengers carried","Equatorial Guinea","GNQ",466435.1193
"Air transport, passengers carried","Eritrea","ERI",102729
"Air transport, passengers carried","Estonia","EST",31981
"Air transport, passengers carried","Ethiopia","ETH",11501244
"Air transport, passengers carried","Faroe Islands","FRO",NA
