,countries,rmse,total_error
0,United Kingdom,5288.073965590251,133184.00435385012
1,Italy,618.0512540219206,23966.41627981859
2,Germany,128.56685930623175,2780.300526230496
3,Spain,162.6491491707329,4998.837844556037
4,US,11040.208946410916,296112.2845242706
5,France,388.60266990888334,-13486.4767811532
6,Belgium,132.94837225034792,-4290.785120339012
7,"Korea, South",2.8082161507076933,84.99256265645855
8,Brazil,211.6783494663431,-6903.761151130233
9,Iran,377.84211839698395,12274.193654202576
10,Netherlands,14.979239215925276,40.49575621706845
11,Canada,109.59957630359145,-4043.6259255847
12,Turkey,65.66579920942681,-2561.0298210928977
13,Romania,5.05894050126509,-55.11426713500873
14,Portugal,7.807978944326204,-17.044873604658278
15,Sweden,60.40937991328448,-2386.630597720848
16,Switzerland,13.478227506719035,-25.010061666702768
17,Ireland,20.626610414620416,-594.5884618744917
18,Hungary,8.29715378691049,-320.886862609844
19,Denmark,4.616154019169027,-141.14858134380643
20,Austria,14.621509967863641,405.21231356426233
21,Mexico,82.78047103105152,-2698.8753541575024
22,India,54.76586013949168,-1854.2570541877467
23,Ecuador,50.74172716694725,-1490.5146261612724
24,Russia,46.152765243185726,-1507.522669506369
25,Peru,46.911800466918706,-1555.5311324170411
26,Indonesia,9.987574307574734,-275.4926095586055
27,Poland,14.639125108856808,-567.4872956309582
28,Philippines,4.8775056471700315,-25.909329884600083
29,Japan,13.7197077242683,-494.3494181559208
30,Pakistan,14.693853510870605,-488.5535571650903
