,countries,rmse,total_error
0,United Kingdom,911.6737876823885,13238.01224858809
1,Italy,600.5545864539994,23382.617440846767
2,Germany,104.15294812173606,1540.1352536540799
3,Spain,71.77692994702177,1774.785128758518
4,US,5854.858803451778,161878.54287659132
5,France,419.1255572556917,-15644.982069463385
6,Belgium,162.74482904290429,-5904.8437478452015
7,"Korea, South",1.7940180997024406,39.957885070073075
8,Brazil,260.8842051943752,-8557.774837402692
9,Iran,81.18764836849368,3150.907016569169
10,Netherlands,14.319373634994935,-529.9224182370681
11,Canada,114.14537455186766,-4172.245906090333
12,Turkey,59.909459329815306,-2334.120264305124
13,Romania,4.029715536675414,-142.1387481226517
14,Portugal,6.1423862380835,53.90679955926521
15,Sweden,52.766540398567976,-2075.301365794664
16,Switzerland,12.64079569494743,-368.0061552202558
17,Ireland,15.180960908029178,-311.94228279476715
18,Hungary,8.582811678200088,-331.7573696301814
19,Denmark,4.351534107186765,-139.44427160749416
20,Austria,10.35527494363889,232.65991160590806
21,Mexico,83.8211262480535,-2743.751547111914
22,India,55.47301263076272,-1880.912943166078
23,Ecuador,52.36768875092144,-1568.3052485608023
24,Russia,46.16515500363134,-1504.6546200629987
25,Peru,47.63187216576464,-1579.253412887973
26,Indonesia,14.631263744473282,-545.8300865267479
27,Poland,15.92378465043938,-619.7661032433358
28,Philippines,5.561574308051856,-181.1995785126283
29,Japan,14.031912384602075,-508.32644923744596
30,Pakistan,15.387966618510204,-513.2101136536339
