,countries,rmse,total_error
0,United Kingdom,1210.7824965470609,18565.02093006035
1,Italy,868.4973245767886,31868.088856261744
2,Germany,150.02474995625676,2054.5767100820813
3,Spain,401.9447591039769,12368.530854703771
4,US,7649.469400227247,202432.39689400018
5,France,396.11378984462567,-13858.508171170055
6,Belgium,120.11222477940842,-3357.5712707391385
7,"Korea, South",1.714541707488887,-0.43215205107473764
8,Brazil,267.9334264605279,-8846.284667463011
9,Iran,220.75685152719186,8414.021336772767
10,Netherlands,21.986342598873318,-459.04076053734207
11,Canada,113.43409791977405,-4174.3751410287105
12,Turkey,57.72367841075385,-2227.4787339349286
13,Romania,8.398042999295338,-336.71519944078375
14,Portugal,8.831603468039079,-27.861964079968857
15,Sweden,58.599914788321975,-2321.176854882623
16,Switzerland,14.265785453288188,-386.78735675796565
17,Ireland,26.540281962379076,-906.663159322041
18,Hungary,8.707722820934686,-336.6329987061132
19,Denmark,4.961283789715098,-155.11496197506034
20,Austria,9.288312934498034,170.41572534731677
21,Mexico,88.3404272638594,-2902.7083184170483
22,India,55.8207910577336,-1896.7012069962768
23,Ecuador,52.66229409168452,-1584.9053895370664
24,Russia,45.94343299710124,-1504.2428835891246
25,Peru,48.03157935353873,-1598.0827147792984
26,Indonesia,15.843475645902785,-603.7000036916935
27,Poland,16.39730174041553,-639.4639968750662
28,Philippines,7.840091313981638,-290.25760107986525
29,Japan,14.077082838538617,-508.9710253067784
30,Pakistan,15.845508328331917,-532.6804514835198
