,countries,rmse,total_error
0,United Kingdom,532.2756756471932,-20827.95903829872
1,Italy,516.1506047521663,20121.39495435215
2,Germany,973.9964925450968,25397.062675611578
3,Spain,112.97507227158158,-4138.3799544305875
4,US,8727.228362497795,256648.8032884099
5,France,468.70007869056485,-17291.192628887016
6,Belgium,262.52412579444535,1355.9658035199127
7,"Korea, South",2.017478250962781,40.71830723887015
8,Brazil,224.35184197141686,-7458.028312454804
9,Iran,69.90278153240764,2783.092885794783
10,Netherlands,35.96697680552388,-1406.4032192545183
11,Canada,116.24291727947157,-4296.902305051589
12,Turkey,72.06864984257984,-2833.4302205681965
13,Romania,6.733703340579839,-268.5760912983693
14,Portugal,6.65550577153178,-146.30173117840877
15,Sweden,55.558993100015826,-2190.735473747376
16,Switzerland,15.247808566785558,-491.67538113725095
17,Ireland,32.97363767120311,-1176.7051537082596
18,Hungary,8.730246044861605,-337.70076345032624
19,Denmark,5.784115233276334,-211.03632521317815
20,Austria,6.306001606638715,63.39362258008009
21,Mexico,86.69130770116602,-2844.011996768019
22,India,55.66963261162957,-1892.1976288849235
23,Ecuador,52.29461011301458,-1569.8183284777726
24,Russia,43.05429185077935,-1400.5690311613419
25,Peru,47.806278264502396,-1591.162269860717
26,Indonesia,15.108761388540135,-549.3056250739551
27,Poland,16.135469060016828,-628.2920002860567
28,Philippines,7.540822677074288,-277.5448282307622
29,Japan,14.127732765261124,-510.5582501726034
30,Pakistan,15.732772910816374,-529.450209317177
