,countries,rmse,total_error
0,United Kingdom,423.2026042778379,-15115.583289030328
1,Italy,584.8004039648675,22308.20334238309
2,Germany,92.69341420994323,1335.3846332029934
3,Spain,232.38465164361548,6473.300204076913
4,US,2947.675080622493,81764.31488503737
5,France,456.61215400787427,-16888.24192302727
6,Belgium,141.35223985144543,-4526.21503399165
7,"Korea, South",2.4837835158751425,80.09110063114659
8,Brazil,271.48206133151393,-8976.494641206256
9,Iran,50.184010085345214,1914.898143039538
10,Netherlands,21.25606385722671,277.3170603625658
11,Canada,116.27012787661903,-4289.001264069963
12,Turkey,61.46892380138575,-2408.092710572872
13,Romania,10.091969319042642,-400.0289591067023
14,Portugal,11.560511241067989,164.3607481978297
15,Sweden,45.54394029859938,-1752.6108944537455
16,Switzerland,15.654213738630796,-442.7922461300782
17,Ireland,27.14858858993291,-910.6486917105287
18,Hungary,8.904072404864245,-344.3506779090044
19,Denmark,5.133298783693555,-171.93860223168934
20,Austria,7.497140010980182,60.57161541589426
21,Mexico,88.43720034812195,-2911.3033115595254
22,India,55.79870521142526,-1896.1719521310533
23,Ecuador,52.663863409616205,-1588.8001807323467
24,Russia,47.138999119685735,-1537.420729787777
25,Peru,48.04736408378297,-1599.5172580990961
26,Indonesia,15.540496890061936,-580.5939772815752
27,Poland,16.291316259876062,-635.7501412061144
28,Philippines,8.36396016084317,-314.5783713843093
29,Japan,13.904500393127977,-501.0556687391268
30,Pakistan,15.842871492991339,-532.5445836455822
