,countries,rmse,total_error
0,United Kingdom,3330.344692599161,76882.26545846304
1,Italy,126.4211406600603,-4217.3903585777625
2,Germany,132.71618299136415,-5121.009550483264
3,Spain,183.71076218071866,-7317.110909807296
4,US,309.15682043627316,6607.745224522048
5,France,494.1705290580616,-18621.07331299642
6,Belgium,171.32285384142142,-6403.382243920478
7,"Korea, South",2.1983403473302254,32.79168737074295
8,Brazil,267.05752614115033,-8757.568706355727
9,Iran,592.153556424962,18215.591962298306
10,Netherlands,42.4362602892095,-1622.857800099157
11,Canada,116.29729134536662,-4251.362850802807
12,Turkey,78.29271184186626,-3072.134342362489
13,Romania,13.89531893560708,-543.7278597927208
14,Portugal,13.365631525278937,-495.6795371180075
15,Sweden,64.62187505132981,-2551.356824715349
16,Switzerland,15.962556457047706,-550.815251788265
17,Ireland,23.306412601769846,-777.304368717675
18,Hungary,9.073998414636025,-350.7224432405843
19,Denmark,6.072894925866309,-233.0544996017344
20,Austria,6.8727062975974675,-209.17672788070917
21,Mexico,85.56804811945176,-2814.6317479484082
22,India,55.44433348574486,-1880.8952115081736
23,Ecuador,52.96296851358808,-1599.426898429302
24,Russia,49.06150564385226,-1598.8345037747972
25,Peru,47.71919980711105,-1584.5790737281764
26,Indonesia,15.607571203570327,-588.6722343867959
27,Poland,16.89907431349808,-659.5020211922523
28,Philippines,8.168886537881738,-301.7999677197261
29,Japan,14.102989264377655,-511.39335195525786
30,Pakistan,15.563369127302716,-521.500435271538
