,countries,rmse,total_error
0,United Kingdom,399.182598774736,-14159.070733371314
1,Italy,170.29411191062565,4991.490697109501
2,Germany,76.1887388557126,-2837.512794058006
3,Spain,92.78707367685976,-3716.218140114208
4,US,3434.8250121364094,95577.46709196712
5,France,474.5810752941486,-17704.407596181536
6,Belgium,169.0395927757531,-6284.366160253954
7,"Korea, South",1.6160689744732548,-2.3110460292968185
8,Brazil,209.76892831223572,-6827.521786345149
9,Iran,31.815178609827097,1216.7361645626352
10,Netherlands,18.877429654058382,-706.1439494409465
11,Canada,112.15284160698542,-4121.580009042639
12,Turkey,66.55410864686372,-2610.851196825855
13,Romania,10.120668429550756,-393.0205587883238
14,Portugal,10.419021258066081,-376.4234643238751
15,Sweden,54.16417504469693,-2137.181750659157
16,Switzerland,12.429108920076017,-305.88274002920343
17,Ireland,22.331156761878205,-716.8822321545197
18,Hungary,8.739213668763256,-338.07344822786115
19,Denmark,4.870183054721011,-170.51076942116134
20,Austria,5.415067284425747,-39.22746667413594
21,Mexico,82.24687732582821,-2713.655121007511
22,India,55.49767245418296,-1881.3804058744322
23,Ecuador,52.03168795254255,-1549.7494420207527
24,Russia,48.00371771535852,-1561.2260946125327
25,Peru,47.560038086592826,-1576.6767982639947
26,Indonesia,10.240302056120198,-315.68129977930823
27,Poland,14.91063208456413,-579.7507897957939
28,Philippines,5.9004540611940435,-196.05454293261982
29,Japan,14.043228740442053,-505.16252890677947
30,Pakistan,15.380676321265296,-513.1995232651007
