,countries,rmse,total_error
0,United Kingdom,44.99463641609886,-49.02409477500623
1,Italy,56.75026127619345,-1297.9180501001665
2,Germany,87.10977272435936,-2235.423016555228
3,Spain,31.840410636672967,3.3462723163229384
4,US,252.55016277755496,-5605.249045424527
5,France,51.178087768501314,-252.7000664407933
6,Belgium,69.70671300066167,798.3168001207478
7,"Korea, South",2.2276045854468896,48.586458989747925
8,Brazil,291.8467730240248,-6851.281579382531
9,Iran,14.599509042290544,-205.90745517715413
10,Netherlands,34.41086369493508,-873.9057984208544
11,Canada,108.02193489818241,-2844.65935758637
12,Turkey,51.77000443433876,1035.322273796468
13,Romania,10.510473180540826,-256.36865776071676
14,Portugal,5.091993676253906,-96.23939447726002
15,Sweden,55.880612463769744,-1476.2073997660696
16,Switzerland,7.756253850991522,97.18726937281633
17,Ireland,30.659259012342336,-727.7966680272116
18,Hungary,3.997879814595273,73.27223818722274
19,Denmark,2.7334467980773005,-67.37282051427911
20,Austria,4.896335469320388,-64.23068536033256
21,Mexico,93.48860603402096,-2228.6382770045257
22,India,10.310004739736598,228.2840399631616
23,Ecuador,58.32820494920349,-1154.9753513764826
24,Russia,28.945150300106377,-727.2925758845912
25,Peru,51.33934215649152,-1257.82450341202
26,Indonesia,71.10887131026394,1522.535663116665
27,Poland,8.952613933123938,-205.75182512463152
28,Philippines,162.59871681828895,3589.843165617647
29,Japan,15.97293057979023,-427.73905665669514
30,Pakistan,9.419267368605306,-214.6859494124247
