,countries,rmse,total_error
0,United Kingdom,149.96568753111112,-3600.231041258401
1,Italy,46.13441368471605,899.9703996509197
2,Germany,103.5127897579782,-2661.719516306861
3,Spain,62.504832045475034,-1333.8497839338615
4,US,710.7775749826444,-18072.366960364765
5,France,52.13372459480509,-522.2555460573258
6,Belgium,688.8254799191909,15089.499767800653
7,"Korea, South",1.7894937105181932,33.806104590112795
8,Brazil,294.82190929037444,-6900.042716038033
9,Iran,29.28312439637695,-762.0269673154494
10,Netherlands,35.82970800363792,-924.8729768788976
11,Canada,76.72217675234432,-2042.739566807215
12,Turkey,18.585237090033733,283.7989016528977
13,Romania,7.771173842150535,-197.90752648004627
14,Portugal,4.673406677852202,79.53600898400191
15,Sweden,60.96077720749337,-1625.8492370898643
16,Switzerland,13.721130015489999,294.92308048728603
17,Ireland,31.746266019806153,-762.4194329057792
18,Hungary,5.268308313641225,88.70955767235631
19,Denmark,2.6779952041237958,-54.73218453640109
20,Austria,5.219183199276655,-20.964862865257203
21,Mexico,92.81257038694163,-2224.2229427585144
22,India,156.79405195410638,3160.494673068469
23,Ecuador,50.45379286062328,-920.489828294517
24,Russia,29.51710538858795,478.5995357920158
25,Peru,30.162085595266507,-721.4788316361836
26,Indonesia,119.21407423395722,2539.3033917288412
27,Poland,7.74338862034787,-173.8372012912459
28,Philippines,151.74115876198948,3363.698806206506
29,Japan,13.787444200991066,-365.3961915519467
30,Pakistan,7.206862910246055,123.84773895028366
