,countries,rmse,total_error
0,United Kingdom,111.00586174284672,1108.0329853372932
1,Italy,77.04323967051029,1910.7527627810014
2,Germany,83.23421173006183,-2161.877171211454
3,Spain,73.70113822488346,1584.5252429418015
4,US,180.4082429452058,-4482.771271500038
5,France,489.3747256459092,10033.073511574361
6,Belgium,620.8149516478042,14208.024935957716
7,"Korea, South",2.649249529701629,65.66702477591512
8,Brazil,293.60231489496374,-6938.980791649596
9,Iran,17.347225757739135,-112.35101882765093
10,Netherlands,22.925821252839647,-574.7450236838836
11,Canada,89.75835307716117,-2397.488827773896
12,Turkey,78.75979283330811,1791.8047413570425
13,Romania,6.437131024903261,-127.94688493124102
14,Portugal,7.142448232250607,133.03769203243837
15,Sweden,60.51523697745652,-1618.5981471769246
16,Switzerland,4.333087809690099,-15.02726929203368
17,Ireland,30.841371954925837,-735.3030827081429
18,Hungary,3.092265418287359,35.8491989541792
19,Denmark,3.122185165421825,-79.82218995770447
20,Austria,5.495628536321322,-88.45081154334841
21,Mexico,95.47861023495902,-2288.607375138161
22,India,56.87317335941259,-1324.1742993744715
23,Ecuador,57.21771625771476,-1067.0880849328914
24,Russia,22.493447185929227,-546.5475945714131
25,Peru,53.49276758158847,-1301.7135786767262
26,Indonesia,15.837546178052387,262.9889812681331
27,Poland,7.097350971695785,-154.2884934355696
28,Philippines,196.8479400427292,4188.156607495505
29,Japan,15.837735687410403,-420.8341179888879
30,Pakistan,14.196443456310199,-335.0526751190198
