,countries,rmse,total_error
0,United Kingdom,118.2315468195305,-520.320006449856
1,Italy,71.10662761022832,1750.4564598714787
2,Germany,63.67484487274019,-329.9401370977521
3,Spain,49.665962193940636,-927.1411382906244
4,US,411.41550054544734,-10882.088980999302
5,France,173.74696347921991,-3571.5641448547995
6,Belgium,517.4843451792269,11739.685460977193
7,"Korea, South",2.7054485864983837,66.41278027655379
8,Brazil,301.8529031029756,-7250.368570206652
9,Iran,17.887685473374177,-355.37884697707204
10,Netherlands,43.69050134932809,-1121.9117425586815
11,Canada,116.08955556448676,-3091.821890738274
12,Turkey,11.75195553015568,47.13982393041579
13,Romania,5.981044271244464,-111.45295675025761
14,Portugal,18.291232750570433,387.51821454579317
15,Sweden,49.73375894008488,-1297.4957439665695
16,Switzerland,7.790800328060785,35.685209266884044
17,Ireland,35.22318458379634,-854.1346512082662
18,Hungary,4.275169091538773,-100.91823447279839
19,Denmark,2.0842827331984606,16.50833248306492
20,Austria,6.004253135026828,-98.23487937782579
21,Mexico,65.44474602485641,-1622.8242076761298
22,India,482.30483411201055,7892.857759630462
23,Ecuador,53.10381497640104,-1020.427189679122
24,Russia,42.78138238566049,-1058.7264638914085
25,Peru,50.950921075589285,-1246.3344351529709
26,Indonesia,30.20212642605495,589.805269933262
27,Poland,8.602523073463265,-186.57359213405306
28,Philippines,228.37402839983613,4746.933326110787
29,Japan,16.543104851730643,-445.63130277519156
30,Pakistan,7.575629268533219,-173.41593412697466
