,countries,rmse,total_error
0,United Kingdom,1234.6600629413517,-30958.404377804614
1,Italy,1237.0239867016683,-30053.78782041213
2,Germany,304.01659581217297,-7420.548106492599
3,Spain,1056.1057032014019,-26100.719109219783
4,US,2976.8513461975767,-76617.25602660244
5,France,1130.2705020231542,-26088.005628175786
6,Belgium,370.2087201127222,-8462.28255197084
7,"Korea, South",10.544249061368633,-254.7283050573207
8,Brazil,376.22456221200036,-9880.688293739979
9,Iran,254.41141853552742,-6440.183614228857
10,Netherlands,221.6142566778346,-5332.646153271677
11,Canada,175.14018242486665,-4673.795865993579
12,Turkey,148.53497400524034,-3685.074100925006
13,Romania,35.577074123090384,-913.8901627854905
14,Portugal,46.28213833764375,-1112.3240780311287
15,Sweden,121.9694374022683,-3101.826195837056
16,Switzerland,80.92154641994463,-1819.7974019116023
17,Ireland,57.91042923567655,-1416.3473125982437
18,Hungary,15.320955768252837,-392.9456173788449
19,Denmark,21.064979812731334,-518.6871381269777
20,Austria,27.878986869762922,-613.2926337686113
21,Mexico,121.13761892855986,-3102.9378026420036
22,India,76.68578847901139,-1993.9631835131886
23,Ecuador,75.6670965568384,-1789.2944426664449
24,Russia,67.84441604649581,-1726.1928773532406
25,Peru,67.0642767664889,-1711.316323549578
26,Indonesia,37.151458433696575,-933.7076448586963
27,Poland,30.22519083790394,-767.692974864613
28,Philippines,27.32890033997281,-688.1273662131689
29,Japan,22.29844378697604,-591.9175299888873
30,Pakistan,23.263400270061137,-609.2942345427402
