,countries,rmse,total_error
0,United Kingdom,532.0110811814028,-13767.806491461677
1,Italy,248.32630048529282,-6354.038194224026
2,Germany,58.60922164426782,-714.6039822727257
3,Spain,82.87410223805219,-1872.578344702746
4,US,962.0997752427552,-25524.403798079096
5,France,323.61411798188493,-5539.432472786152
6,Belgium,906.3625548180161,19859.178803859213
7,"Korea, South",2.348106792203469,59.42488627292444
8,Brazil,284.4998620922561,-6949.841096752139
9,Iran,22.738044484964593,-546.0074516662203
10,Netherlands,58.516719135984005,-1492.5041816602877
11,Canada,80.14466439381667,-2113.7445506275844
12,Turkey,29.59382954969415,-294.41053326302017
13,Romania,14.456716048661272,-349.70207722711444
14,Portugal,18.350330379306776,220.0414318938141
15,Sweden,58.50001170147045,-1549.9599913397965
16,Switzerland,10.710046631777466,-178.49937990456954
17,Ireland,40.10436909446052,-974.3147466323858
18,Hungary,5.515423022007053,-139.69806146015702
19,Denmark,2.70886444967898,-34.27047818581852
20,Austria,8.796162965412472,-156.48565499438672
21,Mexico,81.55534723068176,-1987.8067260218172
22,India,364.84432384602866,5896.933020440021
23,Ecuador,49.0539054135672,-864.0394982226048
24,Russia,24.079250496406207,-564.4324678638113
25,Peru,48.623801256844956,-1172.9901408745995
26,Indonesia,149.94369735161925,2923.0909879464425
27,Poland,13.862598110479572,-342.82494997634905
28,Philippines,85.32153240568277,1939.860125587365
29,Japan,17.24451674998106,-463.90740791387236
30,Pakistan,7.911492804989805,-185.45065605522882
