"","time","country","reported_cases","reported_cases_cumulative","predicted_infections_mean_cumulative","predicted_infections_lower_CI_95_cumulative","predicted_infections_higher_CI_95_cumulative","predicted_infections_mean","predicted_infections_lower_CI_95","predicted_infections_higher_CI_95_cumulative","reported_deaths","reported_deaths_cumulative","estimated_deaths_mean_cumulative","estimated_deaths_lower_CI_95_cumulative","estimated_deaths_higher_CI_95_cumulative","estimated_deaths_mean","estimated_deaths_lower_CI_95","estimated_deaths_higher_CI_95","mean_time_varying_reproduction_number_R(t)","time_varying_reproduction_number_R(t)_lower_CI_95","time_varying_reproduction_number_R(t)_higher_CI_95"
"527",2020-02-24,"Norway",0,0,41.4495448617692,9.02514695566459,109.204919470388,41.4495448617692,9.02514695566459,109.204919470388,0,0,4.14495448617692e-14,9.02514695566459e-15,1.09204919470388e-13,4.14495448617692e-14,9.02514695566459e-15,1.09204919470388e-13,3.15363189169106,2.2733549680675,4.22557409937515
"528",2020-02-25,"Norway",0,0,82.8990897235383,18.0502939113292,218.409838940775,41.4495448617692,9.02514695566459,109.204919470388,0,0,3.74972004332108e-07,8.25101178100855e-08,1.00412773534331e-06,3.74971962882563e-07,8.25101087849385e-08,1.00412762613839e-06,3.15363189169106,2.2733549680675,4.22557409937515
"529",2020-02-26,"Norway",0,0,124.348634585307,27.0754408669938,327.614758411163,41.4495448617692,9.02514695566459,109.204919470388,0,0,1.46239065938695e-05,3.21789425163775e-06,3.91609775286023e-05,1.42489345895374e-05,3.13538413382766e-06,3.8156849793259e-05,3.15363189169106,2.2733549680675,4.22557409937515
"530",2020-02-27,"Norway",1,1,165.798179447077,36.1005878226583,436.81967788155,41.4495448617692,9.02514695566459,109.204919470388,0,0,0.000115116392646396,2.53306034060013e-05,0.000308267181333692,0.000100492486052527,2.21127091543635e-05,0.00026910620380509,3.15363189169106,2.2733549680675,4.22557409937515
"531",2020-02-28,"Norway",3,4,207.247724308846,45.1257347783229,546.024597351938,41.4495448617692,9.02514695566459,109.204919470388,0,0,0.000493463103194902,0.000108583303170004,0.00132143195610733,0.000378346710548506,8.32526997640029e-05,0.00101316477477364,3.15363189169106,2.2733549680675,4.22557409937515
"532",2020-02-29,"Norway",2,6,248.697269170615,54.1508817339875,655.229516822326,41.4495448617692,9.02514695566459,109.204919470388,0,0,0.00156175822544732,0.000343654603098294,0.00418219156297562,0.00106829512225242,0.00023507129992829,0.00286075960686828,3.15363189169106,2.2733549680675,4.22557409937515
"533",2020-03-01,"Norway",9,15,312.348237530442,73.954411229759,796.378307791568,63.6509683598267,19.8035294957715,141.148790969243,0,0,0.00401932447017964,0.000884425856074781,0.0107632440246867,0.00245756624473232,0.000540771252976487,0.00658105246171104,3.15349960758758,2.27316320074592,4.22553482013941
"534",2020-03-02,"Norway",4,19,388.743315849561,98.178470210817,963.90503037429,76.3950783191192,24.224058981058,167.526722582721,0,0,0.00887428701342286,0.00195276756631796,0.0237639209051134,0.00485496254324322,0.00106834171024318,0.0130006768804268,3.15346490852929,2.27312450802843,4.22552008787442
"535",2020-03-03,"Norway",6,25,480.086037197523,128.388357908257,1158.5932242544,91.3427213479622,30.2098876974396,194.688193880109,0,0,0.0174062603722133,0.00383167217968088,0.0465999753685707,0.00853197335879041,0.00187890461336292,0.0228360544634573,3.15342321551757,2.2730785520401,4.22550206276728
"536",2020-03-04,"Norway",8,33,589.701893196,166.558585848123,1384.58715694011,109.615855998477,38.1702279398669,225.993932685713,0,0,0.0312713609165426,0.00689581388583852,0.083645467594386,0.0138651005443293,0.00306414170615764,0.0370454922258153,3.15337319275913,2.27302538682492,4.22547923722943
