,countries,rmse,total_error
0,United Kingdom,72.68559507659806,-904.2727404916968
1,Italy,77.38073137892779,958.4743830616189
2,Germany,55.77768145807951,-695.2850934414182
3,Spain,116.52531914746397,1541.4232378732113
4,US,110.2804879653136,1166.4043659659692
5,France,131.6925225453479,-1598.5725691542893
6,Belgium,58.81843056617839,738.3747001951274
7,"Korea, South",1.5786975429739192,19.999678477421398
8,Brazil,173.52256485185953,-2186.436859292642
9,Iran,35.35317441764327,467.00852242805604
10,Netherlands,8.540013669739968,20.958163494204655
11,Canada,82.22646451098305,-1008.234342179923
12,Turkey,20.08738924062364,217.4590118937649
13,Romania,12.28913114107726,-158.87038340035764
14,Portugal,1.4581543723265782,-1.4480911023632643
15,Sweden,11.41154126619953,-2.570851779143595
16,Switzerland,8.91547459381468,100.56685370948037
17,Ireland,34.09929743233892,-421.20855959491655
18,Hungary,2.6921487309188143,-30.931993873426194
19,Denmark,1.7971912770685252,-7.19654617097089
20,Austria,2.448224634726865,-11.198810339008972
21,Mexico,13.252566417307865,152.88034504397956
22,India,58.46490957122655,-720.8675018153758
23,Ecuador,81.62338367249356,-1060.8717613388026
24,Russia,41.781030915532114,-538.9304353210244
25,Peru,68.32865212267006,-890.8435719890139
26,Indonesia,7.346487598873028,94.41698959454882
27,Poland,5.272331473506672,-38.83817484687853
28,Philippines,4.893160429444926,-44.80334528289262
29,Japan,4.617435095074942,-17.21382737301454
30,Pakistan,20.011704755813845,-258.71671784889406
