,countries,rmse,total_error
0,United Kingdom,208.92220437737734,-2726.129864770406
1,Italy,106.9126543224519,-1335.7668381061358
2,Germany,58.22562363389865,-578.6578178713662
3,Spain,102.40912947587665,-1084.5221869726365
4,US,340.37276571073403,-4336.903058262793
5,France,258.72203739277774,-3149.455712683087
6,Belgium,34.49882262614637,357.0069600389129
7,"Korea, South",1.5017792729895159,17.415592065983446
8,Brazil,235.3298199199905,-3073.479594846018
9,Iran,16.95558368690949,227.92883261495808
10,Netherlands,36.618737603270056,-418.88987468313917
11,Canada,139.50365904710148,-1722.3892350969668
12,Turkey,18.095869960262057,206.43681541907563
13,Romania,15.614506553990235,-200.52438854683425
14,Portugal,2.2753350734180224,-16.847008876447262
15,Sweden,19.88438126277984,-225.38390648241898
16,Switzerland,8.603820349170782,-117.50283593522113
17,Ireland,29.751881046174734,-376.1090069600555
18,Hungary,5.967673318824231,-79.13835976821537
19,Denmark,5.051449895671865,-61.04593987693406
20,Austria,6.597456019011845,-78.80197027433532
21,Mexico,55.098928402149824,-578.5957766096585
22,India,62.57970311975169,-771.6332217936329
23,Ecuador,85.6319925426691,-1113.573040544997
24,Russia,31.045271408632093,-396.4457274427947
25,Peru,72.2931683144581,-938.512959764563
26,Indonesia,10.154466732751015,-115.73281750095813
27,Poland,11.201873100127466,-134.93480719975898
28,Philippines,5.309264671642725,-64.25533267904365
29,Japan,7.675430610738131,-74.7638816819659
30,Pakistan,20.798145318392447,-269.01977751030745
