,countries,rmse,total_error
0,United Kingdom,1516.0012999620715,-19044.98197400947
1,Italy,734.9483335776398,-9129.728418552622
2,Germany,310.87353309768406,-3957.3157055407823
3,Spain,1019.3177533288577,-12539.290174449841
4,US,3357.696916023096,-41767.5585672079
5,France,1455.0369731459728,-18512.43757795338
6,Belgium,449.84931323832217,-5672.589865724583
7,"Korea, South",9.88584825189312,-123.9188779190939
8,Brazil,710.940749497918,-9055.29259815468
9,Iran,202.84096028985567,-2457.6452277126145
10,Netherlands,198.81609152269104,-2494.6082742125627
11,Canada,314.9736365038309,-3978.7465880079703
12,Turkey,218.1578042122922,-2798.1494222696274
13,Romania,57.768834110403006,-741.8224249054035
14,Portugal,62.01064797963272,-780.842046166647
15,Sweden,181.4153899368439,-2282.512063008542
16,Switzerland,56.20157076762533,-707.6383004007753
17,Ireland,94.38350727296029,-1198.322906769152
18,Hungary,24.95574436768661,-321.6289293608223
19,Denmark,21.513427346019352,-270.3904562623401
20,Austria,36.000337319389175,-474.40923476238106
21,Mexico,225.32788863982495,-2878.236341562938
22,India,149.64336002867725,-1928.3699822538479
23,Ecuador,127.75941234437504,-1676.8395554076008
24,Russia,123.56723982137423,-1601.2725241047287
25,Peru,112.75300779941739,-1449.9404882640774
26,Indonesia,61.71784053297964,-782.092733601661
27,Poland,54.12167286221272,-708.6847583454287
28,Philippines,41.36990892764916,-521.5387965974152
29,Japan,43.51203998624179,-561.9257318241532
30,Pakistan,42.63283231127795,-549.9687234299884
