,countries,rmse,total_error
0,United Kingdom,151.13354773458522,-1962.2976881061531
1,Italy,76.5774193294729,986.7921846797235
2,Germany,81.74090138156717,-916.4198969454783
3,Spain,47.477798218825306,556.8102165597056
4,US,39.92430693851597,201.70175173130337
5,France,91.85211040466926,1150.9819872526778
6,"Korea, South",1.5132968485118596,19.598680131619602
7,Brazil,59.23446472084719,382.27170902896523
8,Iran,33.12690970272572,-429.6815237424512
9,Netherlands,27.93838025107338,-282.7493508150019
10,Canada,17.473637581481267,-37.18251083209225
11,Turkey,11.208651494559078,-150.59334346696346
12,Romania,16.93600844073536,-217.3472514175367
13,Portugal,8.335576835076322,-103.34573113762025
14,Sweden,37.91396020532156,-422.3924452335002
15,Switzerland,5.19782266086626,54.176399829701495
16,Ireland,17.343159778150362,-110.88239356613894
17,Hungary,7.66515458921436,-100.74189996840175
18,Denmark,3.2171479749132303,-36.81039373731343
19,Austria,2.004758893183635,-2.7036608723829687
20,Mexico,24.642654297121155,-262.5394753517587
21,India,43.56294559909808,-508.67043490411004
22,Ecuador,76.40450519330427,-991.4033181323769
23,Russia,42.830940980538195,-543.9075014952336
24,Peru,47.65514243312107,-624.7187197697531
25,Indonesia,10.744937678162737,139.96085210679067
26,Poland,8.845321251274633,-112.09319051999884
27,Philippines,2.2263409803725276,9.517624950080545
28,Japan,3.6409255429917837,-6.01779741454493
29,Pakistan,16.620563332748546,-213.5525973179291
30,South Africa,4.460847537258853,-52.8188202753374
31,Egypt,9.94808229839491,-136.567060884294
32,Norway,1.1851820903971368,-14.832678750208544
