,countries,rmse,total_error
0,United Kingdom,60.925238307875105,-763.0809228340659
1,Italy,148.21395544381147,-1837.544258302194
2,Germany,20.915859793750172,136.9970198285523
3,Spain,67.87969606774986,890.3932284822431
4,US,51.542068612325785,-475.8733646133405
5,France,59.14636810240514,429.0211475653423
6,"Korea, South",1.5635665677895068,19.739355867074607
7,Brazil,164.10016892770597,1841.7975885248225
8,Iran,18.08012076590573,-220.8620483220725
9,Netherlands,35.34229922759232,-369.4762972224753
10,Canada,27.81951732857397,-225.71949008129968
11,Turkey,7.239522269265949,-93.68823829757434
12,Romania,16.17463125473445,-206.59400283824982
13,Portugal,1.3510308881610766,-1.6144546059315985
14,Sweden,30.11851513667662,-366.47510676004435
15,Switzerland,21.569255920927414,260.31345932665727
16,Ireland,32.39246344849427,-416.3969858079248
17,Hungary,7.694349232417225,-100.85516794083134
18,Denmark,2.940674880614998,-34.57297276410472
19,Austria,6.320720832773062,-77.19534075075968
20,Mexico,36.86110384852694,-379.6097362625351
21,India,40.03312472157243,-475.1169896240581
22,Ecuador,80.55699582038605,-1049.515448619049
23,Russia,30.71771700713052,-393.2973844721687
24,Peru,46.43021401006942,-605.1990401966272
25,Indonesia,14.427782492572426,181.54746955473482
26,Poland,11.196034435491221,-142.5658006817116
27,Philippines,4.968213147652973,-58.56320985809933
28,Japan,4.151846368809895,-13.817765749528036
29,Pakistan,13.715327830480545,-172.11282983578204
30,South Africa,2.670996986346616,-23.339045620966345
31,Egypt,5.880993943651271,-80.75076049679552
32,Norway,0.5397399108497145,-4.79411438046516
