,countries,rmse,total_error
0,United Kingdom,63.73615602466379,-713.4958182953233
1,Italy,67.75153134954586,820.8932445006722
2,Germany,16.166085134736004,-18.662188091525877
3,Spain,40.137578274657436,482.23077204679885
4,US,290.7535854209956,3218.283195359214
5,France,140.84754498348886,1813.5790699080471
6,Belgium,176.14412389998876,2248.4346383546895
7,"Korea, South",2.309331451422189,28.978771515063457
8,Brazil,32.466210351563184,-85.70571669634228
9,Iran,12.512061060928877,161.69097882960568
10,Netherlands,10.012447635535942,-18.885127782943073
11,Canada,59.010747873203705,-718.2397609609638
12,Turkey,18.338921607656598,200.27083378421275
13,Romania,13.909795633456424,-179.1797138735992
14,Portugal,1.3433003746086996,1.5894915889939512
15,Sweden,8.930695808839454,63.991060420397844
16,Switzerland,4.471500164749749,17.073273989585346
17,Ireland,12.772277663022027,-35.4146549749521
18,Hungary,2.061714490578933,-1.0936956212024143
19,Denmark,1.6490156626013346,-12.002188902042406
20,Austria,2.7019890859090796,5.178077134334487
21,Mexico,30.514017509297666,-317.4490858986212
22,India,50.62610831552866,-620.5271703329439
23,Ecuador,80.34869732165258,-1045.606375083084
24,Russia,24.014226634460755,-319.5209663653085
25,Peru,63.65437681322748,-832.9069259692973
26,Indonesia,2.2466639568971303,18.564685854570797
27,Poland,10.130344313340753,-130.67303243727454
28,Philippines,5.067827990945791,-60.08861267515104
29,Japan,8.614501643779722,-95.01873566012713
30,Pakistan,16.778528765279315,-217.46609919483947
