,countries,rmse,total_error
0,United Kingdom,71.05306882556117,-920.0033500131794
1,Italy,16.655655766424992,192.67952263262669
2,Germany,86.37628320904861,1106.0615652478555
3,Spain,94.09444099575855,1246.4675536648201
4,US,498.83194595750336,6086.7634695935085
5,France,107.08642383435954,1368.2432581830299
6,"Korea, South",4.365500544057812,56.03602442023394
7,Brazil,267.5588348053973,3094.1063720836064
8,Iran,25.4132497227817,-313.32600308539804
9,Netherlands,14.81954310527518,-102.55215140518021
10,Canada,69.67351809459677,605.336398803779
11,Turkey,8.268608822471009,-108.54970353830208
12,Romania,17.62320528758974,-227.3028820777542
13,Portugal,2.039321252815964,-15.87184745632004
14,Sweden,24.152354523722195,-279.46107854501156
15,Switzerland,13.828180025889978,150.21466493163337
16,Ireland,21.124654349390198,-245.4052282972272
17,Hungary,5.747630823022085,-76.13122742083931
18,Denmark,2.4443783968193773,29.839934848791984
19,Austria,3.8628628580974813,9.934309136084082
20,Mexico,35.92949903057174,-430.91459224291407
21,India,43.784485310848794,-486.2210551215825
22,Ecuador,78.23190277393716,-1006.611232338859
23,Russia,27.94546170516666,-359.699874341536
24,Peru,33.96934091115422,-439.5131237698823
25,Indonesia,3.7555820704877108,-6.287140109815624
26,Poland,5.434853874118105,-67.99646579768793
27,Philippines,3.070186694194913,-34.84768708176057
28,Japan,3.25698679833019,20.25044112731706
29,Pakistan,13.410461066466132,-169.60719301853973
30,South Africa,1.884090646999708,-17.615183667495785
31,Egypt,2.563953731552251,5.364344226514248
32,Norway,1.3908617166925676,15.302975100023858
