,countries,rmse,total_error
0,United Kingdom,136.279313251396,-1748.0036849787648
1,Italy,92.13188546177558,-1090.5081322575115
2,Germany,23.143283167867953,160.51369650041306
3,Spain,41.852579530566615,484.0971235362258
4,US,570.7638408211068,-7240.913547100747
5,France,72.60462933503536,-632.0099346408069
6,"Korea, South",3.43942818748235,43.42388961008476
7,Brazil,79.42932689285338,-1021.3147385452776
8,Iran,6.061475670510591,25.623280713550685
9,Netherlands,42.335865662730995,-471.5716172227749
10,Canada,54.92113813480105,-656.0462710283541
11,Turkey,18.578858439603316,-244.31787338508434
12,Romania,17.431798291202842,-222.2525993296773
13,Portugal,4.1297804277587735,-48.354568677553516
14,Sweden,52.6038951923208,-656.0130161934721
15,Switzerland,7.318365802633113,65.3701994645836
16,Ireland,22.29482209934844,-189.4226609715099
17,Hungary,4.598178988359127,-58.40708182308947
18,Denmark,2.7808603907651377,-29.79044882400771
19,Austria,2.790526779609817,16.280499785120455
20,Mexico,63.21091948333782,-739.8233592311149
21,India,54.61909368800861,-645.3476276887385
22,Ecuador,80.31409133385714,-1035.2872047429046
23,Russia,35.36601891085179,-450.6684724729855
24,Peru,51.078869191875384,-667.5076364548661
25,Indonesia,4.522484054536417,58.1358154526599
26,Poland,3.6370403861556317,6.816646878715176
27,Philippines,3.607713647545971,-39.718331542284034
28,Japan,5.425690508547818,-53.37173771432202
29,Pakistan,13.715690015084926,-176.3141881234392
30,South Africa,4.368124339333143,-48.4152684863263
31,Egypt,7.651234500961578,-104.11617271167836
32,Norway,1.4548642212312717,16.35231082764652
