,countries,rmse,total_error
0,United Kingdom,98.16112785806139,-1197.0261244122376
1,Italy,24.602190458808337,291.03631597683307
2,Germany,50.66898847236608,644.9541714058769
3,Spain,55.22002250345745,675.7712945447356
4,US,134.50155644505236,-1609.4739147807559
5,France,62.17045591263007,417.4319737384567
6,"Korea, South",2.0901636074394236,26.328555185299933
7,Brazil,27.09912754127205,-247.77504030046475
8,Iran,6.845739718635776,-76.57862853491906
9,Netherlands,41.033982441896555,-481.99262089188096
10,Canada,47.96625257387457,-558.7591311495114
11,Turkey,24.4733394641726,-322.91373860556405
12,Romania,15.909085671651859,-202.65943099180788
13,Portugal,2.873618790388276,-27.124283760347623
14,Sweden,34.70345269304467,-429.98390204935436
15,Switzerland,5.827343306491611,48.010899785559445
16,Ireland,17.439448625055583,-97.75622971466106
17,Hungary,7.381857574000258,-97.13455734067551
18,Denmark,2.439775322151401,-25.41535263947395
19,Austria,2.366967803516689,-4.096419862134965
20,Mexico,41.29768032705244,-403.31897564493147
21,India,63.56474546440454,-768.8643946151072
22,Ecuador,78.98032997253183,-1028.4626194424045
23,Russia,42.58541050676477,-543.8339734921243
24,Peru,51.67394488749486,-675.6704597612646
25,Indonesia,3.233306411941466,-6.957798260083479
26,Poland,4.272131539655443,42.19138792117417
27,Philippines,5.254637597630873,-63.09753373755012
28,Japan,3.428479517781143,-5.073722436976539
29,Pakistan,16.616366526695945,-214.249882151058
30,South Africa,3.9963253102296665,-44.16257043186839
31,Egypt,6.370548499467132,-87.29513983515818
32,Norway,0.650801134489812,5.747956717317862
