,countries,rmse,total_error
0,United Kingdom,178.4551294511786,1849.4782371074361
1,Italy,106.01002842799201,-1233.5590493117543
2,Germany,29.825833018461616,-24.501468530174407
3,Spain,109.83029901730332,1434.069048383978
4,US,50.38202699649749,387.8973889907902
5,France,162.7150099392235,-1835.709287466986
6,Belgium,90.64081129310128,1132.9086233708385
7,"Korea, South",1.081531138706266,13.079870201248909
8,Brazil,126.5523298297415,1470.6779738251707
9,Iran,9.69282558815548,-70.80880212872125
10,Netherlands,14.019718126435391,-92.87689116625188
11,Canada,107.9742174250399,-1301.3611680850738
12,Turkey,35.22250462576034,437.7058295137135
13,Romania,10.474745438062095,-134.82217120023927
14,Portugal,9.507439663284874,-115.77640679606208
15,Sweden,9.656602383136232,71.61548824044235
16,Switzerland,6.0663255921926895,-75.7367156302513
17,Ireland,7.44539290287637,79.82496745469706
18,Hungary,8.998540016890924,-117.91031235406106
19,Denmark,4.267486568453933,-51.168983554499874
20,Austria,9.116963428700677,-117.86978329034868
21,Mexico,77.40502906244862,-896.511040947607
22,India,26.737038506597244,-318.3251062730833
23,Ecuador,84.25722201634815,-1094.7495128212763
24,Russia,13.885264043496841,-99.3587045414688
25,Peru,59.642809314968225,-784.5059851017947
26,Indonesia,5.232347893353558,66.72283909682685
27,Poland,9.37474676135678,-123.91727659692182
28,Philippines,2.973447596918982,-24.624844516780144
29,Japan,4.6477574431575945,-47.521040378691964
30,Pakistan,16.310965441177135,-208.37951897566072
