,countries,rmse,total_error
0,United Kingdom,44.281619752641404,114.55392532270525
1,Italy,42.19063016813279,-484.6007069622683
2,Germany,48.918539700802704,635.3806976562564
3,Spain,108.73074042476281,1435.342041225692
4,US,90.77900403251908,216.83130157176856
5,France,37.32004826858511,421.97677158031456
6,"Korea, South",2.535478732051599,30.32091817615826
7,Brazil,84.5439966226806,967.2185061556011
8,Iran,11.880271231811745,-113.9666250320006
9,Netherlands,20.470754664614063,-177.17383396232162
10,Canada,48.18248056450238,-567.5063041780706
11,Turkey,6.611965736190749,-55.8883808071148
12,Romania,16.174662500222666,-205.89675487848478
13,Portugal,5.5398445890991965,-65.55689282090452
14,Sweden,25.70571069852268,-274.4166834365153
15,Switzerland,12.15386707997718,123.60882750552696
16,Ireland,26.44446952669312,-334.44211600985443
17,Hungary,8.438151655196478,-109.65013040409298
18,Denmark,2.406478929605877,-25.603086509999798
19,Austria,2.4228299550997083,-24.298321674838533
20,Mexico,45.27376573783784,-462.80048168093685
21,India,69.97076273574133,-854.7056236259808
22,Ecuador,83.49631524496498,-1084.510106744787
23,Russia,44.386047810369156,-564.4656532326875
24,Peru,54.82078653107744,-716.2227549316302
25,Indonesia,3.768240547964261,-19.325531737102466
26,Poland,6.147089765161096,-70.61023768354053
27,Philippines,3.7340895183018175,-44.37585885949045
28,Japan,9.781743374666263,-121.82832229748348
29,Pakistan,18.04421763941397,-232.84815783755045
30,South Africa,3.8220584179997408,-43.072578336007695
31,Egypt,6.07109916750876,-83.72397612446281
32,Norway,1.0925323952506683,11.09648875379736
