,countries,rmse,total_error
0,United Kingdom,68.9728455215055,453.91342951974
1,Italy,73.41139668425191,-847.8433396254568
2,Germany,84.82344634290561,-1000.0636797646603
3,Spain,40.57173324774904,-212.81891180646835
4,US,67.99982654203096,-828.4489504857629
5,France,30.573925023057516,374.43137122834105
6,Belgium,79.23165055463846,1001.9647728217356
7,"Korea, South",2.4080827247760497,31.429077050543157
8,Brazil,70.70939830797698,818.5077888608903
9,Iran,24.28265758940584,-277.2281267159542
10,Netherlands,21.764249003023682,-211.5079705839844
11,Canada,70.4917925606408,389.5526202664505
12,Turkey,6.746812183018939,-90.4846990655792
13,Romania,15.152581069535263,-195.36501030964212
14,Portugal,2.8841760277312143,-30.26713491414239
15,Sweden,19.884758122360218,260.96542102798117
16,Switzerland,7.168242280733369,-93.29482393897763
17,Ireland,16.360348181569098,-130.0531007019211
18,Hungary,7.016599690444642,-92.90458320630637
19,Denmark,3.7633709538650693,-43.90382748938774
20,Austria,3.5815652356810794,-34.472135610800436
21,Mexico,55.447683186283754,-708.7783986563263
22,India,32.75488206048992,-398.4178236134684
23,Ecuador,77.46069885966172,-1006.0732177014966
24,Russia,10.315302712926474,-79.13352413918506
25,Peru,41.332774605898045,-555.3092484176861
26,Indonesia,10.502972235030812,137.63505998825556
27,Poland,4.717988466036418,-57.717783975329695
28,Philippines,2.2722111618048486,-23.433594837579335
29,Japan,3.6264263347826104,19.249757323869233
30,Pakistan,15.784857092825305,-199.41759380872764
