,countries,rmse,total_error
0,United Kingdom,243.34863961711292,-3158.1496011605414
1,Italy,95.42794960947708,-1176.7784515483854
2,Germany,50.90706646517752,-655.7441565211489
3,Spain,68.71848212038728,-736.7088225336674
4,US,425.69603851491564,-5354.385460558955
5,France,89.72927689894709,-923.0480518213635
6,Belgium,112.5846662308171,1449.8063071074662
7,"Korea, South",2.466202175754544,31.727956637593493
8,Brazil,160.10408547740775,-2070.594597933624
9,Iran,13.972449438281364,-144.79751455629776
10,Netherlands,46.18510375413596,-539.6172287535069
11,Canada,93.03618925761927,-1139.0970320714405
12,Turkey,5.7147090431698135,-60.31443037847475
13,Romania,9.549072876984972,-124.24020659359763
14,Portugal,3.642032084092971,-36.50689431523176
15,Sweden,7.617751076517262,-18.93268908487562
16,Switzerland,2.631825089292312,6.600161486954448
17,Ireland,16.450390541983733,-141.3954512620025
18,Hungary,7.268312736895441,-94.45935515983982
19,Denmark,3.185100935219307,-34.16906926503472
20,Austria,4.303829491997452,-42.54264933855423
21,Mexico,59.417800164875246,-741.7608349235609
22,India,36.82098785358821,-459.5904751389753
23,Ecuador,78.51738362821172,-1020.5248302581242
24,Russia,22.89920935908663,-305.08252661123424
25,Peru,66.03033493503764,-863.3659279342069
26,Indonesia,3.13610741034282,-18.82447668566371
27,Poland,12.055718151533052,-147.1571493502128
28,Philippines,4.143700265850365,13.392567143229854
29,Japan,6.241246535518748,-68.07837204415756
30,Pakistan,16.80527834724581,-216.27923990110452
