,countries,rmse,total_error
0,United Kingdom,66.4573650124919,-661.6925895557779
1,Italy,147.69242918904382,1815.9437505003898
2,Germany,51.20114612856203,-549.5812141102592
3,Spain,34.22022801856744,-235.33035541742083
4,US,284.1613346608559,-3599.456910309971
5,France,38.05592000094294,461.807357117209
6,"Korea, South",2.215761674127579,27.509454813176433
7,Brazil,117.20178532262108,1269.5693154297123
8,Iran,30.020232762372935,-351.52871003880136
9,Netherlands,31.21824802830278,-329.8923201373932
10,Canada,24.334446538623332,199.67253798110278
11,Turkey,31.364976617483606,-413.26958203353456
12,Romania,15.849216702333939,-205.27715652590786
13,Portugal,2.6496953108093204,-26.964633646176253
14,Sweden,21.03742172946108,-168.6010263315418
15,Switzerland,5.676305393936672,-67.29328687831367
16,Ireland,17.736920300349283,-161.08441682132525
17,Hungary,6.777361348141539,-89.06882423270017
18,Denmark,1.4608894283184728,4.384505856528278
19,Austria,3.356619046415938,27.73476366897522
20,Mexico,79.62939821764179,-949.5179645769027
21,India,59.85687204390771,-729.404282419144
22,Ecuador,77.95858068621389,-1013.246007728922
23,Russia,46.948325354357266,-593.7350043208817
24,Peru,45.52186505725812,-597.978540129261
25,Indonesia,6.461095080688721,-41.45444330936712
26,Poland,5.814212193132638,-56.839332997579675
27,Philippines,3.1355919787510262,-11.302267273643821
28,Japan,6.016299042312897,-43.217617676247954
29,Pakistan,16.36238164921905,-211.80145965210005
30,South Africa,3.972141187085626,-44.1698181320079
31,Egypt,8.673815480914774,-119.58086143449691
32,Norway,1.2106477892480154,13.095616938882145
