,countries,rmse,total_error
0,United Kingdom,235.68548021974564,-3041.1469004382907
1,Italy,38.566902474784925,-292.2191211784848
2,Germany,27.76377946457162,268.150099594553
3,Spain,25.168984383162723,199.6957690537265
4,US,145.9056532201864,1723.125115124236
5,France,40.04141230869313,-349.13812039368804
6,Belgium,117.90930373517303,1502.1277666882024
7,"Korea, South",2.84942672137222,34.85328190287227
8,Brazil,25.45952898175127,-160.49916483155175
9,Iran,30.3083790014333,-369.83854807174566
10,Netherlands,20.26155964184396,-204.0878596855091
11,Canada,86.0912031246871,-1037.4495215492018
12,Turkey,9.576905070588783,-128.6738142311899
13,Romania,10.165190559392551,-131.79461835637744
14,Portugal,7.837296893362506,-95.86115730115125
15,Sweden,19.65057652345863,239.42158228069206
16,Switzerland,11.655394886953603,-149.9841141033761
17,Ireland,8.779619944476243,82.49179341701819
18,Hungary,7.715929466500657,-101.7207216606594
19,Denmark,4.0310325972790535,-47.518880734275996
20,Austria,3.9609720719556827,-38.174260519659484
21,Mexico,98.88560799399987,-1188.1127275768786
22,India,62.59190175753101,-763.9551576897468
23,Ecuador,84.68961944624954,-1103.9490207642539
24,Russia,13.645986434628034,-30.25000255643795
25,Peru,66.22302481139316,-864.6391437225101
26,Indonesia,3.8719543515353556,44.76124278400104
27,Poland,3.3816536972174394,12.191796790722094
28,Philippines,3.0310776751091555,-28.496401874411106
29,Japan,8.014224522120909,-92.27173486363907
30,Pakistan,19.0210948933648,-243.84409903172752
